weight,party_rand_cat,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,maga,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,violence3_perception,violence6_perception,policy_graduated_taxes,policy_energy_ind,policy_labor_power,policy_health_insur,policy_free_trade,policy_trans_athletes,policy_abortion,policy_defund_police,policy_gun_rights,policy_marijuana_legal,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,engaged,year,week,survey
1.0202498600,,72.0,23.0,Yes,Likely to refuse,Likely,Important,Very proud,Agree,,Neither agree nor disagree,41,Neither agree nor disagree,37,Neither agree nor disagree,46,Neither agree nor disagree,47,Neither agree nor disagree,37.0,Support,Support,Support,Neither support nor oppose,,,53.0,49.0,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,,,4. Middle of the road; see the pros and cons of both sides,,1993,Male,White,No,I can not speak Spanish,4-year,Never married,Full-time,"$80,000 - $99,999",No,Democrat,Not very strong Democrat,Hillary Clinton,Joe Biden,Oregon,Big city,Yes,Moderate,Some of the time,Roman Catholic,Once a week,Yes,Somewhat important,A few times a week,2024-01-12 18:41:18,2024-01-12 18:49:58,1,2024,3,70
0.3947691176,,9.0,41.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Important,Moderately proud,Neither agree nor disagree,Neither,Neither agree nor disagree,29,Neither agree nor disagree,10,Neither agree nor disagree,30,Neither agree nor disagree,15,Neither agree nor disagree,45.0,Neither support nor oppose,,,,,,42.0,40.0,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,,,3.,,1993,Female,White,No,I can not speak Spanish,Post-grad,Married,Part-time,"$10,000 - $19,999",No,Independent,Lean Republican,Donald Trump,Jo Jorgensen,Florida,Smaller city,Yes,Conservative,Don't know,Protestant,Once a week,Yes,Very important,Several times a day,2024-01-12 18:41:05,2024-01-12 18:51:13,1,2024,3,70
1.5304897745,,12.0,88.0,No,Extremely likely to accept,Extremely unlikely,Very important,Extremely proud,Strongly disagree,MAGA Republican,Neither agree nor disagree,0,Neither agree nor disagree,0,Neither agree nor disagree,0,Strongly disagree,2,Neither agree nor disagree,1.0,Neither support nor oppose,,,,,,62.0,68.0,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,7. Have individuals and private insurance pay medical expenses,4. Middle of the road; see the pros and cons of both sides,,,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1983,Male,White,No,I can not speak Spanish,4-year,Married,Full-time,"$80,000 - $99,999",Yes,Republican,Strong Republican,Donald Trump,Donald Trump,Tennessee,Suburban area,Yes,Very conservative,Some of the time,Protestant,Once a week,Yes,Very important,Once a day,2024-01-12 18:41:06,2024-01-12 18:51:35,1,2024,3,70
0.7621922948,,42.0,13.0,Yes,Likely to refuse,Unlikely,Very important,Very proud,Neither agree nor disagree,,Strongly disagree,8,Strongly disagree,7,Neither agree nor disagree,31,Neither agree nor disagree,22,Strongly disagree,41.0,Oppose,,,,,,21.0,6.0,1. Tax richer people at a higher rate,4. Middle of the road; see the pros and cons of both sides,,2.,4. Middle of the road; see the pros and cons of both sides,,,,2.,,1983,Female,White,No,I can not speak Spanish,4-year,Married,Full-time,"$30,000 - $39,999",No,Independent,Lean Democrat,Did not vote for President,Joe Biden,Texas,Smaller city,Yes,Moderate,Most of the time,Protestant,Seldom,Yes,Very important,A few times a week,2024-01-12 18:41:27,2024-01-12 18:52:12,1,2024,3,70
1.1712328806,,70.0,0.0,Yes,Likely to refuse,Unlikely,Very important,Moderately proud,Strongly agree,Neither,Strongly disagree,10,Strongly disagree,3,Strongly disagree,10,Strongly disagree,15,Strongly agree,10.0,Support,Oppose,,,,,10.0,2.0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,,1. Implement government health insurance for everyone,1. Limit free trade,,,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1980,Male,Other,No,I can not speak Spanish,Post-grad,Never married,Full-time,Prefer not to say,No,Independent,Lean Republican,Hillary Clinton,Joe Biden,North Carolina,Smaller city,Yes,Liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2024-01-12 18:39:54,2024-01-12 18:52:26,1,2024,3,70
0.2928595591,,35.0,70.0,No,Likely to accept,Equally likely to or unlikely,Very important,Moderately proud,Agree,Neither,Neither agree nor disagree,60,Strongly disagree,25,Strongly disagree,70,Strongly disagree,20,Strongly disagree,20.0,Support,Support,Strongly oppose,,,,40.0,15.0,3.,6.,,4. Middle of the road; see the pros and cons of both sides,4. Middle of the road; see the pros and cons of both sides,,,,"7. Do not restrict the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1998,Male,White,No,I can not speak Spanish,4-year,Domestic / civil partnership,Full-time,"$100,000 - $119,999",No,Republican,Not very strong Republican,Did not vote for President,Jo Jorgensen,Arizona,Suburban area,Yes,Conservative,Most of the time,Something else,Seldom,No,Not too important,Seldom,2024-01-12 18:38:40,2024-01-12 18:53:49,1,2024,3,70
1.0861650109,,10.0,60.0,No,Likely to accept,Unlikely,Very important,Extremely proud,Disagree,Neither,Disagree,20,Strongly disagree,40,Strongly disagree,90,Strongly disagree,85,Strongly disagree,85.0,Neither support nor oppose,,,,,,60.0,15.0,3.,7. Increase U.S. production of natural gas and coal,,7. Have individuals and private insurance pay medical expenses,3.,,,,6.,,1974,Male,White,No,I can not speak Spanish,High school graduate,Married,Full-time,"$200,000 - $249,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Michigan,Suburban area,Yes,Conservative,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Seldom,2024-01-12 18:40:03,2024-01-12 18:54:33,1,2024,3,70
0.6972214820,,90.0,1.0,No,Equally likely to refuse or accept,Unlikely,Very important,Only a little proud,Neither agree nor disagree,,Disagree,80,Strongly disagree,60,Agree,90,Strongly disagree,90,Strongly disagree,72.0,Oppose,,,,,,45.0,20.0,1. Tax richer people at a higher rate,3.,,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,,,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1997,Male,White,No,I can not speak Spanish,Post-grad,Married,Full-time,"$120,000 - $149,999",Yes,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,North Carolina,Small town,Yes,Very liberal,Most of the time,Jewish,Never,No,Not at all important,Seldom,2024-01-12 18:38:41,2024-01-12 18:54:44,1,2024,3,70
1.3686580904,,91.0,92.0,Yes,Likely to refuse,Extremely likely,Very important,Extremely proud,Strongly agree,,Strongly agree,100,Strongly agree,99,Strongly agree,100,Strongly agree,98,Strongly agree,100.0,Oppose,,,,,,100.0,93.0,5.,5.,,5.,6.,,,,5.,,2002,Female,White,Yes,I can not speak Spanish,4-year,Never married,Part-time,"$120,000 - $149,999",No,Democrat,Strong Democrat,Did not vote for President,Donald Trump,Maryland,Big city,Yes,Very liberal,Some of the time,Roman Catholic,Once a week,Yes,Very important,Several times a day,2024-01-12 18:41:10,2024-01-12 18:54:54,1,2024,3,70
1.0405638070,,50.0,50.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Important,Extremely proud,Strongly agree,,Strongly disagree,58,Neither agree nor disagree,57,Agree,73,Neither agree nor disagree,43,Neither agree nor disagree,62.0,Strongly support,Neither support nor oppose,,,,,59.0,69.0,1. Tax richer people at a higher rate,1. Decrease U.S. production of natural gas and coal,,1. Implement government health insurance for everyone,4. Middle of the road; see the pros and cons of both sides,,,,"1. Ban the manufacture, possession, and sale of assault rifles and semi-automatic weapons",,1994,Female,White,No,,Some college,Domestic / civil partnership,Student,"$40,000 - $49,999",No,Independent,Lean Democrat,Did not vote for President,Did not vote for President,Georgia,Small town,No,Not sure,Only now and then,Nothing in particular,Seldom,No,Not too important,Seldom,2024-01-12 18:39:43,2024-01-12 18:54:56,1,2024,3,70
