preferred_candidate <- ...,age,gender,race,education_level,state,urban
Joe Biden,51,male,middle eastern,No HS,Iowa,0
Donald Trump,62,male,hispanic,Some college,Montana,0
Donald Trump,20,female,black,No HS,Washington,0
Joe Biden,97,female,asian,Some college,Texas,1
Joe Biden,43,female,south asian,Some college,Nevada,0
Joe Biden,73,male,japanese,High school graduate,California,0
Joe Biden,92,male,pacific islander,4-year,Illinois,1
Joe Biden,82,male,south asian,Post-grad,Mississippi,0
Donald Trump,68,male,middle eastern,2-year,California,1
Donald Trump,37,female,middle eastern,Post-grad,North Carolina,0
Joe Biden,48,female,native american,Some college,Ohio,1
Joe Biden,59,male,native american,Post-grad,Oklahoma,0
Joe Biden,21,male,other,High school graduate,Michigan,0
Joe Biden,88,female,asian,Post-grad,Delaware,0
Joe Biden,18,female,asian,Post-grad,Alaska,1
Joe Biden,64,female,pacific islander,Some college,New York,1
Joe Biden,43,male,hispanic,High school graduate,Tennessee,0
Joe Biden,37,male,pacific islander,No HS,New Jersey,1
Donald Trump,63,male,native american,No HS,Virginia,1
Joe Biden,78,female,chinese,Some college,Utah,1
Donald Trump,91,male,other,Some college,Minnesota,1
Donald Trump,51,male,native american,Post-grad,Vermont,0
Joe Biden,27,male,black,Some college,New Jersey,1
Donald Trump,80,male,black,No HS,Wisconsin,1
Donald Trump,87,male,japanese,Post-grad,Maryland,1
Donald Trump,68,female,hispanic,High school graduate,Colorado,1
Donald Trump,73,female,pacific islander,High school graduate,Iowa,1
Joe Biden,55,female,south asian,2-year,Iowa,1
Donald Trump,52,female,other,4-year,Minnesota,1
Joe Biden,80,female,asian,2-year,Rhode Island,1
Joe Biden,25,female,white,2-year,Georgia,1
Donald Trump,84,female,south asian,Post-grad,Wisconsin,1
Joe Biden,44,male,asian,Some college,Indiana,0
Donald Trump,34,male,chinese,Post-grad,Florida,0
Joe Biden,72,female,hispanic,High school graduate,New Hampshire,0
Joe Biden,25,female,chinese,High school graduate,Wisconsin,1
Joe Biden,90,female,hispanic,2-year,Maryland,1
Donald Trump,94,female,pacific islander,Some college,New Hampshire,0
Joe Biden,51,male,asian,4-year,Colorado,0
Joe Biden,97,female,japanese,4-year,Massachusetts,0
Joe Biden,28,female,japanese,Post-grad,Washington,1
Donald Trump,66,female,black,2-year,Iowa,0
Donald Trump,47,male,asian,No HS,Maryland,1
Donald Trump,39,female,asian,High school graduate,North Dakota,1
Donald Trump,26,male,black,4-year,New Jersey,1
Joe Biden,28,female,pacific islander,High school graduate,South Dakota,1
Donald Trump,60,male,black,Post-grad,Missouri,0
Donald Trump,34,male,hispanic,2-year,Delaware,0
Joe Biden,18,female,middle eastern,4-year,Iowa,1
Donald Trump,26,male,middle eastern,High school graduate,Arizona,1
Donald Trump,93,male,asian,4-year,Louisiana,1
Donald Trump,76,male,black,High school graduate,Maine,0
Joe Biden,22,female,other,4-year,South Dakota,0
Donald Trump,70,female,south asian,Some college,North Dakota,1
Joe Biden,23,male,middle eastern,4-year,New York,1
Joe Biden,35,female,hispanic,No HS,Minnesota,0
Joe Biden,66,female,white,2-year,Michigan,0
Joe Biden,51,female,other,2-year,Mississippi,0
Joe Biden,59,male,hispanic,Post-grad,Illinois,1
Joe Biden,27,female,asian,Some college,Connecticut,0
Joe Biden,19,female,south asian,No HS,Massachusetts,1
Donald Trump,65,male,pacific islander,Some college,Tennessee,1
Donald Trump,79,female,middle eastern,Some college,Maine,0
Joe Biden,50,female,middle eastern,No HS,North Dakota,0
Donald Trump,30,female,white,Post-grad,Oregon,0
Donald Trump,98,female,asian,2-year,Michigan,1
Joe Biden,72,male,japanese,Some college,Connecticut,1
Joe Biden,26,female,asian,4-year,South Dakota,1
Donald Trump,81,male,hispanic,Post-grad,Montana,1
Donald Trump,25,female,white,No HS,Missouri,1
Donald Trump,54,female,asian,2-year,Nevada,0
Joe Biden,88,female,south asian,4-year,California,1
Donald Trump,35,male,asian,Post-grad,Texas,1
Joe Biden,99,female,black,High school graduate,Florida,0
Donald Trump,86,male,asian,Some college,New Mexico,0
Joe Biden,77,female,south asian,High school graduate,Hawaii,1
Joe Biden,98,male,white,2-year,Indiana,1
Donald Trump,85,male,middle eastern,High school graduate,Oklahoma,1
Donald Trump,23,female,japanese,Post-grad,Michigan,1
Joe Biden,29,male,middle eastern,No HS,Wyoming,0
Joe Biden,41,female,other,4-year,Wyoming,1
Joe Biden,95,female,japanese,Some college,South Dakota,0
Joe Biden,40,female,white,High school graduate,North Dakota,1
Joe Biden,20,female,other,4-year,Wisconsin,0
Donald Trump,88,male,japanese,No HS,Vermont,1
Donald Trump,64,female,white,Post-grad,Rhode Island,1
Donald Trump,77,male,japanese,4-year,Texas,0
Joe Biden,48,male,middle eastern,Post-grad,Missouri,1
Joe Biden,72,male,asian,4-year,North Dakota,0
Donald Trump,49,female,japanese,Post-grad,Minnesota,0
Joe Biden,77,male,chinese,4-year,South Carolina,1
Joe Biden,25,male,pacific islander,High school graduate,Oklahoma,1
Donald Trump,67,female,south asian,No HS,Ohio,1
Joe Biden,58,male,native american,No HS,New Mexico,0
Joe Biden,89,female,japanese,4-year,Idaho,0
Joe Biden,85,male,japanese,2-year,Florida,0
Joe Biden,58,female,asian,2-year,Wyoming,1
Joe Biden,23,female,south asian,High school graduate,Massachusetts,1
Joe Biden,83,female,pacific islander,2-year,Florida,1
Donald Trump,41,male,south asian,2-year,Oregon,1
Joe Biden,35,male,middle eastern,2-year,Missouri,1
Donald Trump,80,male,asian,High school graduate,Mississippi,0
Donald Trump,39,male,pacific islander,Some college,Louisiana,0
Donald Trump,75,female,south asian,Some college,Maryland,0
Donald Trump,54,male,white,High school graduate,Florida,1
Joe Biden,71,female,hispanic,High school graduate,New York,0
Donald Trump,98,female,pacific islander,Post-grad,New Jersey,1
Donald Trump,29,male,middle eastern,2-year,Pennsylvania,1
Joe Biden,97,female,white,4-year,Ohio,0
Joe Biden,54,female,middle eastern,Some college,South Carolina,1
Donald Trump,52,male,asian,No HS,Kentucky,1
Joe Biden,85,male,black,Some college,Florida,0
Donald Trump,73,male,japanese,High school graduate,Tennessee,1
Donald Trump,29,male,chinese,High school graduate,North Carolina,1
Joe Biden,60,female,black,4-year,Michigan,1
Donald Trump,63,female,south asian,4-year,New Jersey,1
Joe Biden,18,female,asian,No HS,Mississippi,0
Joe Biden,77,male,chinese,No HS,Oklahoma,1
Joe Biden,62,female,japanese,2-year,Illinois,1
Joe Biden,42,male,hispanic,Post-grad,Mississippi,1
Joe Biden,53,female,hispanic,Some college,South Carolina,1
Joe Biden,45,male,middle eastern,Post-grad,Washington,0
Joe Biden,55,female,south asian,High school graduate,New Jersey,0
Donald Trump,64,female,japanese,High school graduate,New Jersey,0
Joe Biden,96,male,middle eastern,2-year,New York,1
Donald Trump,92,male,native american,No HS,Vermont,1
Joe Biden,52,male,pacific islander,4-year,Mississippi,1
Joe Biden,60,male,middle eastern,High school graduate,Idaho,1
Donald Trump,91,female,other,2-year,Maine,0
Donald Trump,68,male,asian,4-year,Mississippi,0
Donald Trump,24,female,asian,2-year,Montana,0
Donald Trump,28,female,hispanic,No HS,New Mexico,1
Donald Trump,38,male,white,Post-grad,North Carolina,1
Joe Biden,18,male,white,Some college,Massachusetts,1
Joe Biden,39,female,south asian,Post-grad,Illinois,1
Joe Biden,49,male,asian,2-year,Pennsylvania,0
Joe Biden,24,male,chinese,4-year,Washington,1
Joe Biden,88,female,black,Post-grad,Kentucky,1
Donald Trump,84,female,chinese,High school graduate,Montana,1
Donald Trump,20,female,middle eastern,4-year,Florida,1
Joe Biden,66,male,japanese,Some college,Virginia,1
Donald Trump,54,male,white,Post-grad,California,1
Joe Biden,56,female,asian,4-year,Kansas,0
Joe Biden,45,male,hispanic,2-year,Nevada,1
Joe Biden,77,female,japanese,No HS,South Carolina,1
Donald Trump,77,male,black,Some college,Minnesota,1
Donald Trump,84,female,asian,4-year,Minnesota,1
Joe Biden,42,female,black,No HS,Colorado,1
Donald Trump,40,male,black,4-year,New Mexico,0
Donald Trump,39,male,hispanic,High school graduate,Montana,0
Joe Biden,57,male,other,No HS,New Hampshire,1
Joe Biden,52,male,other,2-year,Tennessee,1
Joe Biden,31,male,south asian,High school graduate,Michigan,0
Joe Biden,56,female,hispanic,Some college,Alabama,0
Joe Biden,72,male,asian,Some college,Utah,0
Donald Trump,38,male,asian,High school graduate,Rhode Island,0
Donald Trump,89,male,japanese,4-year,Oklahoma,1
Donald Trump,46,female,middle eastern,No HS,Rhode Island,0
Joe Biden,52,female,middle eastern,No HS,New Mexico,1
Donald Trump,55,female,asian,No HS,Vermont,1
Donald Trump,69,male,native american,2-year,Minnesota,1
Joe Biden,30,female,pacific islander,Some college,Montana,1
Joe Biden,45,male,pacific islander,4-year,New Mexico,0
Donald Trump,31,male,chinese,4-year,Florida,1
Joe Biden,33,male,pacific islander,No HS,Arkansas,1
Joe Biden,24,female,chinese,4-year,North Carolina,0
Donald Trump,44,female,asian,Some college,Ohio,0
Joe Biden,80,male,hispanic,Some college,Utah,0
Joe Biden,26,female,chinese,Post-grad,Texas,1
Donald Trump,63,female,other,Post-grad,New Mexico,0
Joe Biden,19,male,chinese,4-year,New Hampshire,1
Joe Biden,65,female,white,Some college,New Hampshire,1
Joe Biden,30,male,other,Some college,Arizona,0
Donald Trump,39,female,pacific islander,2-year,Hawaii,0
Joe Biden,38,male,asian,Some college,Nebraska,1
Donald Trump,34,male,other,Some college,Oklahoma,1
Donald Trump,18,male,other,Some college,Iowa,1
Joe Biden,87,female,chinese,4-year,Oklahoma,0
Donald Trump,41,male,asian,No HS,Florida,1
Donald Trump,24,female,south asian,Post-grad,Colorado,0
Donald Trump,66,female,white,4-year,Kansas,1
Joe Biden,55,female,south asian,4-year,Virginia,0
Donald Trump,74,male,black,Post-grad,Virginia,1
Joe Biden,99,male,japanese,Some college,Arkansas,0
Joe Biden,26,female,black,High school graduate,Nevada,1
Donald Trump,85,female,white,Some college,North Carolina,0
Joe Biden,21,female,middle eastern,4-year,Connecticut,0
Donald Trump,75,male,white,4-year,Rhode Island,0
Joe Biden,91,male,south asian,4-year,Arizona,0
Donald Trump,95,female,pacific islander,High school graduate,Mississippi,1
Joe Biden,86,male,asian,High school graduate,New Hampshire,0
Joe Biden,82,male,black,Post-grad,Tennessee,0
Joe Biden,27,male,pacific islander,4-year,Michigan,1
Donald Trump,69,female,pacific islander,Some college,Pennsylvania,1
Joe Biden,24,female,other,Post-grad,West Virginia,0
Donald Trump,68,male,hispanic,High school graduate,New Jersey,1
Donald Trump,64,male,pacific islander,High school graduate,Delaware,1
Joe Biden,66,female,middle eastern,No HS,Hawaii,1
Joe Biden,36,male,south asian,No HS,Hawaii,0
Donald Trump,48,female,chinese,4-year,Missouri,0
Donald Trump,20,female,hispanic,Some college,Virginia,0
Donald Trump,27,male,white,4-year,South Dakota,0
Donald Trump,33,female,asian,High school graduate,Alabama,1
Donald Trump,64,male,native american,2-year,Maryland,0
